Dim1,Dim2,Decision
7.118109,42.28161,0
-26.141891,-30.967306,2
-44.518524,3.4426825,1
-35.872864,28.493895,0
-5.0065494,-7.409889,1
5.666363,34.681232,0
-8.122803,-17.5873,1
-12.93979,-44.184177,2
-7.0774417,-20.406496,1
25.037828,-33.420353,2
6.352226,40.33371,0
-10.849008,26.848978,0
-4.644203,-6.748907,1
-11.108353,-45.54834,2
7.040285,-22.350838,1
42.664993,-13.145249,2
-4.8244767,-7.0822673,1
33.077232,-24.721617,2
-5.77431,-48.838074,2
3.96822,26.591309,0
56.896297,8.985558,2
-39.80471,-20.348913,2
-14.925491,32.307644,0
-4.8221593,23.16215,0
-11.609663,27.70741,0
5.787479,36.958054,0
-3.2811685,0.6203071,1
-27.982048,2.5363433,1
-4.3900805,-6.2514505,1
-2.10084,-24.333868,1
31.349781,-26.704704,2
-8.152791,-14.593659,1
18.34199,-5.338495,1
-4.33971,-23.279863,1
-5.1046915,-22.717667,1
22.711853,-36.22844,2
-4.735269,-6.913993,1
-4.656312,-23.062103,1
-9.026932,25.194511,0
-33.574684,-24.284561,2
6.208348,39.784275,0
1.531238,24.055237,0
-22.885427,3.7852175,1
37.422882,13.511497,0
-43.608765,3.2347949,1
-22.117731,37.706455,0
34.19448,-23.433802,2
-36.7711,26.935999,0
24.721703,41.162796,0
20.589582,44.85001,0
19.460972,8.695349,1
5.7340417,36.205338,0
30.466522,-27.692259,2
-18.078976,35.74077,0
-20.352924,-37.24457,2
27.887316,36.998737,0
18.697363,-4.2752523,1
16.643099,-9.318491,1
-31.533754,34.342518,0
-1.1716753,-24.56165,1
-1.5456736,-24.48133,1
31.222778,-26.84409,2
19.730497,3.7759454,1
1.4794321,-24.657106,1
37.259514,-19.794508,2
31.850416,-26.143269,2
30.07842,-28.114267,2
-3.3280494,22.92931,0
-33.866455,-24.080742,2
-2.3842838,22.907621,0
-4.075218,-5.571136,1
-30.10979,35.59901,0
-16.959396,34.74117,0
-17.688828,5.4573293,1
8.216187,-21.40796,1
7.49329,42.948174,0
45.49839,-9.559239,2
-18.230314,5.2950945,1
19.485355,8.628868,1
8.620269,-21.02749,1
19.602041,45.455563,0
19.764618,1.9422991,1
-10.7956085,-45.76669,2
19.767336,2.1320662,1
41.946884,-14.039391,2
55.191566,5.443244,2
38.36924,-18.477137,2
5.0990477,29.400026,0
-6.60393,-48.38513,2
-6.438701,-48.476707,2
-42.874683,3.0729337,1
49.6736,-3.702898,2
5.680747,35.058453,0
-18.412271,5.237995,1
-5.370862,23.306925,0
24.848093,41.010902,0
15.42099,46.877045,0
41.465405,-14.628372,2
-34.583992,30.551188,0
37.3597,13.858761,0
36.573772,17.883667,0
-42.153008,2.9234343,1
-23.449533,-33.850704,2
-15.152741,32.618633,0
-25.959751,2.9447477,1
-3.369937,-3.6349735,1
1.0374382,-51.94186,2
-29.341265,36.1494,0
-23.428976,3.6203969,1
-0.8609351,-51.15426,2
-35.251163,-23.118507,2
-9.526446,-46.622574,2
-14.94047,6.142559,1
-34.265938,31.001152,0
33.2272,27.367208,0
-10.586496,26.574133,0
9.517956,45.22308,0
-20.871323,-36.683414,2
-34.053574,31.31343,0
14.342745,-13.488074,1
-31.525803,-25.917212,2
35.912506,20.379694,0
-32.565212,33.225956,0
-38.25112,24.254213,0
10.785254,-18.672998,1
37.602524,11.347256,0
-16.401457,5.810091,1
-3.8846557,2.1962898,1
6.1007524,-22.99127,1
-2.4609842,-24.21185,1
46.978542,-7.5874424,2
-17.930164,35.61991,0
-37.292103,25.92839,0
29.563171,-28.677662,2
-25.780706,2.9866304,1
-28.426722,-28.686855,2
-5.92268,4.634569,1
-5.1998353,-7.740368,1
37.140057,15.145545,0
-36.659286,-22.19002,2
-34.794437,-23.427622,2
-15.484607,33.051586,0
37.169563,14.966203,0
-28.15679,-28.952524,2
48.618675,-5.2649717,2
41.58913,-14.481565,2
-12.420562,28.73865,0
-19.670422,4.830967,1
17.736597,-6.915439,1
-4.169019,2.6900978,1
37.83942,11.19403,0
-7.6625347,-19.212252,1
-38.240845,24.6988,0
-23.189575,-34.135773,2
-13.625082,30.444792,0
8.40065,44.170456,0
-5.6629605,-8.557166,1
8.075757,-21.536848,1
-23.8049,37.89305,0
-7.2638555,-20.08385,1
30.482063,32.74614,0
-30.405521,35.35656,0
-17.504757,5.5104833,1
-35.092743,-23.226034,2
18.557013,45.979286,0
44.216537,-11.210982,2
3.525371,-24.207813,1
-5.56829,-8.386041,1
50.91398,-1.8044518,2
6.741794,-22.566748,1
-33.272152,-24.516563,2
-36.993423,26.470974,0
-23.82543,-33.438126,2
8.036531,43.733597,0
43.14846,-12.549389,2
26.75061,-31.656322,2
12.480879,-16.379389,1
-7.7759385,24.356014,0
-43.427216,3.1936023,1
-33.959564,2.0392954,1
-14.751933,6.1775627,1
43.381454,-12.259595,2
37.204956,14.782805,0
19.009808,-3.1908507,1
-20.322443,37.10764,0
32.912365,28.059586,0
12.267917,-16.687233,1
-18.057608,5.345103,1
17.80895,-6.7387238,1
53.914066,3.159219,2
56.83757,8.9065895,2
-46.320847,3.8847296,1
31.74578,30.423813,0
18.583609,-4.62357,1
-35.683624,28.816631,0
0.6976273,-51.796898,2
-1.7225786,-50.78305,2
4.060533,-24.008184,1
15.85778,-10.841176,1
18.14277,-5.861108,1
-13.949448,30.911709,0
-4.0828376,23.02049,0
-12.756023,29.200323,0
-31.927998,33.933754,0
56.922295,9.066335,2
31.392202,31.096354,0
-10.311568,26.30458,0
8.939794,44.728165,0
-0.53234184,23.167244,0
12.158303,-16.846312,1
12.207723,46.61976,0
-21.638546,4.1779895,1
10.97087,46.133137,0
38.85699,-17.8883,2
35.964478,20.201746,0
-6.7530956,-10.5245695,1
3.1611855,-24.319656,1
17.054089,-8.465428,1
6.2593584,-22.895374,1
39.80386,-16.705322,2
-32.649258,2.0609975,1
37.23809,14.594366,0
55.954716,6.855239,2
-17.545609,-40.109367,2
15.400599,-11.67703,1
-39.198727,2.419855,1
11.936512,-17.162304,1
3.21016,-52.835743,2
-40.23813,-20.105656,2
-40.90547,-19.781303,2
-32.802982,32.949314,0
27.774935,37.16132,0
-6.4286537,23.688057,0
11.850527,46.504696,0
19.415955,6.5759196,1
-19.131824,5.0067186,1
-9.864421,6.2935934,1
-26.870705,2.7412686,1
-50.05949,5.0691733,1
46.08051,-8.797572,2
33.20753,-24.57953,2
44.45317,-10.905127,2
-6.985594,-20.57268,1
-24.687656,3.2618766,1
-4.501998,-23.175436,1
-21.260714,-36.263184,2
52.006523,-0.054949436,2
-36.058674,28.183584,0
-14.702209,31.999733,0
-26.140654,2.9031417,1
-10.9500265,-45.662266,2
33.616478,26.51226,0
19.191065,-2.462982,1
7.5946884,43.10792,0
33.95056,-23.724857,2
-14.485856,31.692633,0
-35.83208,2.093103,1
-1.7334398,-24.43466,1
-41.745358,-19.082806,2
37.47759,11.492425,0
-10.450654,26.440294,0
4.4177575,-23.869558,1
-16.452246,34.211205,0
0.3625555,23.453463,0
33.76616,26.166338,0
44.33577,-11.057335,2
54.008904,3.3216197,2
-10.977091,26.983286,0
36.350376,18.780928,0
-3.143706,-2.5431707,1
-9.184788,25.303864,0
-30.236979,-27.020496,2
46.189796,-8.647322,2
31.572083,30.752182,0
33.14681,27.546394,0
-33.38798,32.216656,0
37.274837,14.39955,0
56.201782,7.2685394,2
-3.529471,-4.171294,1
5.4325767,-53.58923,2
-0.4216271,-24.669367,1
-20.395584,4.588258,1
-33.12585,-24.635666,2
-6.7708335,-20.889914,1
-3.1089034,-0.3031579,1
-13.514827,30.282005,0
-49.19817,4.804416,1
-26.671047,-30.417776,2
15.115036,-12.169291,1
-1.2635732,23.011145,0
-31.66924,-25.796436,2
-47.02528,4.061933,1
-18.369278,-39.304955,2
19.5097,5.951296,1
1.9913696,24.371462,0
19.771114,2.489595,1
-23.246206,3.6730795,1
42.424423,-13.44516,2
19.34979,6.9766564,1
-29.652197,2.2913468,1
-21.029898,37.389614,0
17.212048,-8.118868,1
-18.524536,36.072502,0
-31.147688,2.1431673,1
-38.100506,24.94221,0
-4.602396,3.3086987,1
-26.276842,-30.838837,2
19.75035,3.405648,1
37.519325,-19.502924,2
-6.308778,-9.694782,1
-6.221646,4.8529496,1
-31.120691,34.73539,0
36.401867,18.599302,0
-7.283166,24.08425,0
2.2325253,-52.430416,2
-29.093588,2.36288,1
5.0582542,-53.44807,2
-2.5735433,-50.407463,2
27.554926,37.480602,0
-50.081783,4.61734,1
-40.680176,2.6490998,1
35.215977,22.498299,0
28.827068,35.545982,0
1.0393476,23.77129,0
-38.285984,24.538202,0
19.501064,8.472515,1
-30.94762,-26.394623,2
-3.2519143,-50.09437,2
5.1888204,29.780104,0
19.322914,7.1765814,1
-14.558358,6.2141395,1
-30.526272,-26.769123,2
45.95975,-8.947959,2
51.51305,-0.8527069,2
-12.075682,28.291853,0
18.761787,8.51612,1
36.06684,19.843649,0
-31.517374,2.1174443,1
-6.1082315,-48.65664,2
38.006466,-18.914156,2
5.658766,34.492985,0
28.623667,35.863636,0
51.611378,-0.69305545,2
19.451399,-1.1806309,1
18.03115,46.206326,0
36.26441,19.129303,0
-3.2780037,-3.2709937,1
30.200626,33.246426,0
28.41609,36.190044,0
-7.4576225,-12.066314,1
-7.9282556,-13.488563,1
14.927735,-12.500455,1
-2.2319255,-50.556805,2
0.7242331,-24.710659,1
-23.791573,3.5121145,1
-40.098747,-20.188284,2
-16.041994,5.8991933,1
11.374549,-17.921244,1
-36.346165,-22.407644,2
-16.430449,-41.193832,2
1.3675462,23.948015,0
